t [s],Q [W],Tin [degC],Tout [degC]
83012,0,9.99999999999943,9.99999999999949
83312,0,9.99999999999938,9.99999999999949
83612,0,9.99999999999955,9.99999999999949
83912,0,9.99999999999943,9.99999999999949
84212,0,9.99999999999938,9.99999999999949
84512,0,9.99999999999943,9.99999999999949
84812,0,9.99999999999943,9.99999999999949
85112,0,9.99999999999955,9.99999999999949
85412,0,9.99999999999943,9.99999999999949
85712,0,9.99999999999943,9.99999999999949
86012,0,9.99999999999955,9.99999999999949
86312,0,9.99999999999955,9.99999999999949
86612,11971.5836860754,16.0257169325071,10.3249627962807
86912,12237.4679596655,16.897168149367,11.0698024542882
87212,12100.9406483223,17.770487949762,12.0081352600847
87512,12105.4845698044,18.6736550552394,12.9091385934278
87812,12064.698690861,19.4274102846869,13.6823156699912
88112,12021.4994006377,20.0668528496315,14.3423293255183
88412,11993.1442980838,20.613803842354,14.9027827480284
88712,12031.9095317007,21.1282182330553,15.398737503674
89012,12067.3355115522,21.585879535314,15.8395292917177
89312,12081.2952882394,21.9880294436665,16.235031687362
89612,12013.7854986815,22.3138400377375,16.5929898002701
89912,11970.0828714266,22.6171279027406,16.9170884401565
90212,12028.9320293033,22.936090900354,17.2080280292572
90512,12056.1640028787,23.210437235037,17.4694067574757
90812,12037.9851346709,23.4451767439895,17.7128028703367
91112,12060.9436401588,23.6889242394969,17.9456177441832
91412,12135.0743635017,23.9474948800905,18.1688880403278
91712,12197.9122167554,24.1892187800234,18.380689152997
92012,12158.3393251204,24.3706220575944,18.5809366646799
92312,12152.8411505687,24.5584051407317,18.7713379261752
92612,12198.2571929329,24.7617562867812,18.9530623853846
92912,12246.6533082415,24.9565908855039,19.1248512149127
93212,12219.1414707079,25.1056496617213,19.2870108661461
93512,12194.6636730017,25.2487800712458,19.4417973698164
93812,12172.4215024982,25.3863094224165,19.5899182307507
94112,12147.6289004125,25.5138058342483,19.7292206435757
94412,12115.8769742869,25.6270720430489,19.857606817198
94712,12133.5079003488,25.7542115286591,19.9763506237311
95012,12125.7778523593,25.8626056714361,20.0884257417412
95312,12116.8981690401,25.9668655993582,20.1969140902915
95612,12081.3724238819,26.0538877652749,20.3008532777121
95912,12065.3191359343,26.1462854902053,20.4008954254747
96212,12009.0275395915,26.2142246099356,20.495640067273
96512,11986.5223609755,26.292288211145,20.5844204202043
96812,12006.4413837936,26.3851999016978,20.6678468617961
97112,12013.7794206129,26.468670483001,20.747823139852
97412,12027.8712469314,26.5546613351248,20.8271035984908
97712,11954.6998043489,26.5967811236267,20.9040669310796
98012,11871.5851620706,26.6286556035171,20.9755198120549
98312,11882.1931613261,26.6998638498584,21.0416766301793
98612,11864.2125998779,26.7534911634424,21.1038661158815
98912,11982.8157400682,26.8734482066874,21.1673454733216
99212,11930.9616560228,26.9134356566085,21.2320253442167
99512,11922.9903980223,26.9743710868726,21.2967566116239
99812,11974.2493134632,27.0634747759858,21.3614512933843
100112,12070.8240255656,27.1763514387344,21.4283399979889
100412,12130.3573762829,27.274136771066,21.4977761156932
100712,12102.4879169269,27.3330997066449,21.570010222394
101012,12012.5552282358,27.3588893600451,21.6386249656471
101312,11973.7981911649,27.4023150269838,21.7005063645243
101612,12008.6398157485,27.4756686151832,21.757268702922
101912,12044.0571581295,27.5476098932845,21.8123445798895
102212,12062.1920713098,27.6119436168555,21.8680426305175
102512,12085.3285723433,27.6799810712181,21.9250627034356
102812,12092.586231915,27.7410126100091,21.9826382138591
103112,12069.2081111169,27.786215702875,22.0389737452003
103412,12208.6487373472,27.9106746742397,22.0970324183601
103712,12247.5718239412,27.9901673223231,22.1579902633035
104012,12198.3904513825,28.028264902469,22.2195075446678
104312,12170.2282460218,28.0738246049124,22.2784778210925
104612,12201.1961481621,28.1445116435,22.3344182396133
104912,12270.5201314191,28.2328163313223,22.389711506837
105212,12287.0108792128,28.2966689005708,22.4457113390409
105512,12266.6226637338,28.3427560321153,22.501507144623
105812,12252.4386837117,28.3899325603672,22.5554379490759
